;time;open;high;low;close;tick_volume;spread;real_volume
5941;2017-08-25 06:00:00;0.96492;0.96513;0.96462;0.96474;10842;5;0
5942;2017-08-25 07:00:00;0.96473;0.96502;0.96472;0.96475;6376;5;0
5943;2017-08-25 08:00:00;0.96475;0.96512;0.96448;0.96494;16301;5;0
5944;2017-08-25 09:00:00;0.96494;0.96538;0.96492;0.96526;12403;4;0
5945;2017-08-25 10:00:00;0.96525;0.96623;0.96455;0.96482;13716;4;0
5946;2017-08-25 11:00:00;0.96482;0.96501;0.9634;0.96364;16725;5;0
5947;2017-08-25 12:00:00;0.96363;0.96371;0.96288;0.96298;13081;4;0
5948;2017-08-25 13:00:00;0.96297;0.96401;0.96288;0.96334;12716;5;0
5949;2017-08-25 14:00:00;0.96334;0.96433;0.96303;0.96383;14699;5;0
5950;2017-08-25 15:00:00;0.96382;0.96506;0.96371;0.96481;15604;5;0
5951;2017-08-25 16:00:00;0.96481;0.96604;0.9632;0.96553;17467;4;0
5952;2017-08-25 17:00:00;0.96545;0.96563;0.95791;0.95859;22886;4;0
5953;2017-08-25 18:00:00;0.95858;0.95858;0.95709;0.95745;20051;4;0
5954;2017-08-25 19:00:00;0.95747;0.95747;0.9563;0.95666;15365;4;0
5955;2017-08-25 20:00:00;0.95665;0.95711;0.9564;0.95672;11710;4;0
5956;2017-08-25 21:00:00;0.95673;0.95769;0.95673;0.95728;10422;4;0
5957;2017-08-25 22:00:00;0.95728;0.95744;0.955;0.95593;21651;4;0
5958;2017-08-25 23:00:00;0.95593;0.95742;0.95541;0.95742;15490;5;0
5959;2017-08-28 00:00:00;0.95451;0.95551;0.95416;0.95457;1069;8;0
5960;2017-08-28 01:00:00;0.9548;0.95563;0.95451;0.95504;28127;5;0
5961;2017-08-28 02:00:00;0.95504;0.95557;0.95487;0.95538;22856;5;0
5962;2017-08-28 03:00:00;0.95537;0.95603;0.95533;0.95539;19465;4;0
5963;2017-08-28 04:00:00;0.95537;0.95587;0.95525;0.95558;14092;5;0
5964;2017-08-28 05:00:00;0.95556;0.95606;0.95552;0.95602;9126;5;0
5965;2017-08-28 06:00:00;0.95602;0.95781;0.95583;0.95684;10329;4;0
5966;2017-08-28 07:00:00;0.95684;0.95726;0.95594;0.95629;15033;4;0
5967;2017-08-28 08:00:00;0.95629;0.95649;0.95563;0.95576;20654;4;0
5968;2017-08-28 09:00:00;0.95573;0.95607;0.95522;0.9554;12876;5;0
5969;2017-08-28 10:00:00;0.95538;0.95554;0.95354;0.9543;17332;4;0
5970;2017-08-28 11:00:00;0.95428;0.95503;0.95292;0.95302;19531;5;0
5971;2017-08-28 12:00:00;0.95302;0.95353;0.95266;0.9535;14953;4;0
5972;2017-08-28 13:00:00;0.95349;0.95389;0.95329;0.95375;13349;4;0
5973;2017-08-28 14:00:00;0.95375;0.95468;0.95349;0.95462;21992;4;0
5974;2017-08-28 15:00:00;0.9546;0.95519;0.95394;0.95404;21886;5;0
5975;2017-08-28 16:00:00;0.95405;0.95641;0.95374;0.95633;23223;4;0
5976;2017-08-28 17:00:00;0.9564;0.95689;0.95481;0.95512;23259;4;0
5977;2017-08-28 18:00:00;0.95512;0.95556;0.95468;0.95553;21227;4;0
5978;2017-08-28 19:00:00;0.95553;0.95559;0.95471;0.95499;16004;5;0
5979;2017-08-28 20:00:00;0.95499;0.95519;0.9543;0.95493;15402;4;0
5980;2017-08-28 21:00:00;0.95493;0.95509;0.95455;0.95491;12934;4;0
5981;2017-08-28 22:00:00;0.95491;0.9554;0.95476;0.95523;11345;4;0
5982;2017-08-28 23:00:00;0.95523;0.95544;0.95505;0.9552;9688;5;0
5983;2017-08-29 00:00:00;0.95508;0.95526;0.95172;0.95187;6154;5;0
